Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
93,Thursday Jul 10,boxscore,CIN,@,CHC,W,12,7,,44-49,4,11.5,Arroyo,Lilly,,3:15,D,41459,.34,+,
94,Friday Jul 11,boxscore,CIN,@,MIL,W,6,5,,45-49,4,11.5,Lincoln,Shouse,Cordero,2:56,N,41229,.46,++,
95,Saturday Jul 12,boxscore,CIN,@,MIL,W,8,2,,46-49,4,11.5,Volquez,McClung,,3:05,N,43556,.52,+++,
96,Sunday Jul 13,boxscore,CIN,@,MIL,L-wo,2,3,,46-50,4,11.5,Sabathia,Weathers,,2:48,D,42108,.63,-,
97,Thursday Jul 17,boxscore,CIN,,NYM,L,8,10,,46-51,4,12.0,Sanchez,Cordero,Wagner,3:43,N,23681,.42,--,
98,Friday Jul 18,boxscore,CIN,,NYM,W,5,2,,47-51,4,11.0,Arroyo,Maine,Cordero,2:28,N,31922,.32,+,
99,Saturday Jul 19,boxscore,CIN,,NYM,W,7,2,,48-51,4,10.0,Fogg,Perez,,2:50,N,41959,.34,++,
100,Sunday Jul 20,boxscore,CIN,,NYM,L,5,7,10,48-52,4,11.0,Sanchez,Bray,Wagner,3:25,D,31195,.39,-,
101,Monday Jul 21,boxscore,CIN,,SDP,L,4,6,,48-53,4,11.0,Hensley,Cordero,Hoffman,3:07,N,18177,.24,--,
102,Tuesday Jul 22,boxscore,CIN,,SDP,W-wo,4,3,11,49-53,4,10.0,Majewski,Corey,,3:31,N,21233,.19,+,
103,Wednesday Jul 23,boxscore,CIN,,SDP,W,9,5,,50-53,4,10.0,Arroyo,Meredith,Cordero,2:34,D,22970,.26,++,
104,Friday Jul 25,boxscore,CIN,,COL,L,2,7,,50-54,4,10.5,Cook,Volquez,,2:50,N,27501,.27,-,
105,Saturday Jul 26,boxscore,CIN,,COL,L,1,5,,50-55,4,10.5,De La Rosa,Bailey,,2:36,N,33981,.26,--,
106,Sunday Jul 27,boxscore,CIN,,COL,L,0,11,,50-56,4,11.5,Jimenez,Fogg,,3:05,D,28246,.17,---,
107,Monday Jul 28,boxscore,CIN,@,HOU,L,4,5,,50-57,4,12.5,Oswalt,Cueto,Valverde,2:28,N,31783,.14,----,
108,Tuesday Jul 29,boxscore,CIN,@,HOU,L,2,6,,50-58,6,13.5,Moehler,Arroyo,Wright,2:29,N,34015,.10,-----,
109,Wednesday Jul 30,boxscore,CIN,@,HOU,W,9,5,,51-58,4,13.5,Volquez,Rodriguez,,3:13,N,30272,.08,+,
110,Friday Aug 1,boxscore,CIN,@,WSN,L,2,5,,51-59,6,14.0,Perez,Bailey,,2:26,N,30572,.09,-,
111,Saturday Aug 2,boxscore,CIN,@,WSN,L,6,10,,51-60,6,15.0,Manning,Lincoln,,2:46,N,30970,.07,--,
112,Sunday Aug 3,boxscore,CIN,@,WSN,L,2,4,,51-61,6,16.0,Balester,Cueto,Hanrahan,2:27,D,32939,.05,---,
113,Monday Aug 4,boxscore,CIN,,MIL,W,6,3,,52-61,5,15.0,Arroyo,Parra,Cordero,2:36,N,24706,.05,+,
114,Tuesday Aug 5,boxscore,CIN,,MIL,L,1,8,,52-62,5,16.0,Bush,Volquez,,2:44,N,24739,.07,-,
