Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
112,Monday Aug 4,boxscore,PIT,@,ARI,L,7,13,,51-61,6,15.5,Haren,Davis,,3:06,N,21826,.05,---,
113,Tuesday Aug 5,boxscore,PIT,@,ARI,L,1,3,,51-62,6,16.5,Webb,Duke,,1:55,N,25109,.04,----,
114,Wednesday Aug 6,boxscore,PIT,@,ARI,W,2,0,,52-62,5,16.5,Karstens,Johnson,,2:16,D,28556,.02,+,
115,Friday Aug 8,boxscore,PIT,@,PHI,W,2,0,12,53-62,5,16.5,Beam,Walrond,Hansen,3:44,N,43891,.03,++,
116,Saturday Aug 9,boxscore,PIT,@,PHI,L,2,4,,53-63,5,16.5,Myers,Snell,Durbin,2:32,N,45060,.03,-,
117,Sunday Aug 10,boxscore,PIT,@,PHI,L,3,6,,53-64,5,17.5,Eyre,Yates,Madson,2:51,D,45262,.02,--,
118,Monday Aug 11,boxscore,PIT,@,NYM,W,7,5,,54-64,5,17.0,Bautista,Heilman,Grabow,3:11,D,53534,.01,+,2008-04-28 (Rain)
119,Tuesday Aug 12,boxscore,PIT,,CIN,L,1,5,,54-65,5,17.5,Volquez,Karstens,,2:49,N,23686,.01,-,
120,Wednesday Aug 13,boxscore,PIT,,CIN,W,5,2,,55-65,5,18.0,Maholm,Fogg,Grabow,2:14,N,15787,.01,+,
121,Thursday Aug 14,boxscore,PIT,,CIN,L,1,3,,55-66,5,19.0,Cueto,Snell,Cordero,2:54,N,35439,.00,-,
122,Friday Aug 15,boxscore,PIT,,NYM,L,1,2,,55-67,5,20.0,Pelfrey,Davis,Heilman,2:31,N,36418,.00,--,
123,Saturday Aug 16,boxscore,PIT,,NYM,L,4,7,,55-68,5,20.0,Martinez,Duke,Feliciano,2:43,N,37506,.00,---,
124,Sunday Aug 17,boxscore,PIT,,NYM,L,0,4,,55-69,5,21.0,Santana,Karstens,,2:42,D,36483,.00,----,
125,Monday Aug 18,boxscore,PIT,,NYM,W,5,2,,56-69,5,20.5,Burnett,Feliciano,Grabow,2:50,D,19066,.00,+,
126,Tuesday Aug 19,boxscore,PIT,@,STL,W,4,1,,57-69,5,20.5,Snell,Looper,Beam,3:03,N,39502,.00,++,
127,Wednesday Aug 20,boxscore,PIT,@,STL,L,2,11,,57-70,5,20.5,Wellemeyer,Davis,,2:50,N,37269,.00,-,
128,Friday Aug 22,boxscore,PIT,@,MIL,L,4,10,,57-71,5,21.0,Bush,Duke,,2:41,N,41637,.00,--,
129,Saturday Aug 23,boxscore,PIT,@,MIL,L,3,6,,57-72,5,22.0,Suppan,Gorzelanny,Torres,2:38,N,43293,.00,---,
130,Sunday Aug 24,boxscore,PIT,@,MIL,L-wo,3,4,12,57-73,5,23.0,Mota,Davis,,4:00,D,45163,.00,----,
131,Monday Aug 25,boxscore,PIT,,CHC,L,3,12,,57-74,5,24.0,Lilly,Karstens,,2:56,N,14454,.00,-----,
132,Tuesday Aug 26,boxscore,PIT,,CHC,L,9,14,,57-75,6,25.0,Marshall,Hansen,,3:59,N,17929,.00,------,
133,Wednesday Aug 27,boxscore,PIT,,CHC,L,0,2,,57-76,6,26.0,Marquis,Duke,Wood,2:17,D,15260,.00,-------,
134,Friday Aug 29,boxscore,PIT,,MIL,L,1,3,,57-77,6,27.5,Bush,Gorzelanny,Torres,2:30,N,18086,.00,--------,
