Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
97,Friday Jul 18,boxscore,PHI,@,FLA,W,4,2,,53-44,1,up 1.0,Moyer,Nolasco,Lidge,2:48,N,23124,2.05,++,
98,Saturday Jul 19,boxscore,PHI,@,FLA,L,5,9,,53-45,1,up 1.0,Olsen,Kendrick,,3:10,D,26520,2.09,-,
99,Sunday Jul 20,boxscore,PHI,@,FLA,L-wo,2,3,11,53-46,1,Tied,Waechter,Condrey,,2:58,D,17724,2.18,--,
100,Tuesday Jul 22,boxscore,PHI,@,NYM,W,8,6,,54-46,1,up 1.0,Durbin,Smith,Lidge,3:13,N,55081,2.27,+,
101,Wednesday Jul 23,boxscore,PHI,@,NYM,L,3,6,,54-47,1,Tied,Maine,Madson,Wagner,2:46,N,53444,2.27,-,
102,Thursday Jul 24,boxscore,PHI,@,NYM,L,1,3,,54-48,2,1.0,Heilman,Romero,Wagner,2:18,D,50962,2.32,--,
103,Friday Jul 25,boxscore,PHI,,ATL,L,2,8,,54-49,2,2.0,Jurrjens,Kendrick,,2:50,N,45114,1.70,---,
104,Saturday Jul 26,boxscore,PHI,,ATL,W,10,9,,55-49,2,1.0,Eaton,Boyer,Lidge,3:12,D,45107,1.64,+,
105,Sunday Jul 27,boxscore,PHI,,ATL,W,12,10,,56-49,2,1.0,Condrey,Tavarez,Lidge,3:16,D,45096,1.67,++,
106,Tuesday Jul 29,boxscore,PHI,@,WSN,W,2,1,,57-49,2,0.5,Myers,Balester,Lidge,2:27,N,34039,1.68,+++,
107,Wednesday Jul 30,boxscore,PHI,@,WSN,W,8,5,,58-49,1,up 0.5,Moyer,Redding,Lidge,2:49,N,31798,1.76,++++,
108,Thursday Jul 31,boxscore,PHI,@,WSN,W,8,4,,59-49,1,up 1.0,Kendrick,Lannan,,2:53,N,31658,1.78,+++++,
109,Friday Aug 1,boxscore,PHI,@,STL,L,3,6,,59-50,1,up 1.0,Lohse,Hamels,Isringhausen,2:45,N,44234,2.04,-,
110,Saturday Aug 2,boxscore,PHI,@,STL,W,2,1,,60-50,1,up 1.5,Blanton,Looper,Lidge,2:27,N,45450,1.99,+,
111,Sunday Aug 3,boxscore,PHI,@,STL,W,5,4,,61-50,1,up 2.5,Durbin,Garcia,Lidge,2:57,N,44655,1.97,++,
112,Tuesday Aug 5,boxscore,PHI,,FLA,L,2,8,,61-51,1,up 1.5,Johnson,Moyer,,3:23,N,44896,2.42,-,
