Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
153,Wednesday Sep 17,boxscore,COL,,SDP,W,1,0,,70-83,3,9.5,Hernández,Geer,Fuentes,2:36,D,25155,.00,++,
154,Friday Sep 19,boxscore,COL,,ARI,W,3,2,,71-83,3,9.0,De La Rosa,Scherzer,Fuentes,2:43,N,43137,.00,+++,
155,Saturday Sep 20,boxscore,COL,,ARI,L,3,5,,71-84,3,10.0,Pena,Fuentes,Qualls,3:05,N,38283,.00,-,
156,Sunday Sep 21,boxscore,COL,,ARI,L,4,13,,71-85,3,10.0,Haren,Reynolds,,3:10,D,32915,.00,--,
157,Tuesday Sep 23,boxscore,COL,@,SFG,W,9,4,,72-85,3,10.0,Jimenez,Lincecum,,3:02,N,33922,.00,+,
158,Wednesday Sep 24,boxscore,COL,@,SFG,W,15,6,,73-85,3,10.0,Hernández,Sanchez,,3:05,N,31942,.00,++,
159,Thursday Sep 25,boxscore,COL,@,SFG,W,3,1,,74-85,3,9.0,De La Rosa,Zito,Fuentes,2:25,N,31857,.00,+++,
160,Friday Sep 26,boxscore,COL,@,ARI,L,4,6,,74-86,3,9.0,Cruz,Grilli,Qualls,3:06,N,34590,.00,-,
161,Saturday Sep 27,boxscore,COL,@,ARI,L,4,6,,74-87,3,10.0,Lyon,Corpas,Qualls,2:32,N,33234,.00,--,
162,Sunday Sep 28,boxscore,COL,@,ARI,L-wo,1,2,,74-88,3,10.0,Johnson,Vizcaino,,2:24,D,35908,.00,---,
